date, pm25, pm10, o3, no2, so2, co
2023/2/3, 172, 95, 47, 16, 2, 8
2023/2/4, 177, 91, 27, 12, 1, 9
2023/2/5, 178, 92, 8, 23, 5, 10
2023/2/6, 179, 104, 19, 22, 1, 10
2023/2/7, 189, 68, 12, 12, , 7
2023/2/8, 156, 39, 26, 10, 1, 7
2023/2/9, 89, 62, 8, 17, 1, 8
2023/2/10, 141, 62, 1, 16, 1, 9
2023/2/11, 155, 49, 8, 13, 1, 8
2023/2/12, 97, 36, 16, 9, 1, 6
2023/2/13, 71, 35, 26, 11, 1, 6
2023/2/14, 68, 45, 16, 13, 1, 8
2023/2/15, 95, 58, 3, 17, 1, 9
2023/2/16, 129, 71, 18, 17, 1, 9
2023/2/17, 159, 64, 23, 14, 1, 8
2023/2/18, 144, 55, 19, 21, 1, 6
2023/2/19, 88, 77, 2, 24, 2, 8
2023/2/20, 145, 64, 9, 15, 1, 6
2023/2/21, 122, 32, 13, 10, 1, 3
2023/2/22, 66, 46, 18, 18, 1, 4
2023/2/23, 104, 58, 34, 18, 2, 5
2023/2/24, 131, 51, 39, 11, 2, 4
2023/2/25, 114, 77, 33, 20, 3, 6
2023/2/26, 151, 77, 16, 20, 3, 6
2023/2/27, 159, 74, 13, 23, 2, 5
2023/2/28, 151, 73, 35, 14, 2, 4
2023/3/1, 126, 77, 15, 16, 1, 4
2023/3/2, 140, 79, 39, 17, 1, 6
2023/3/3, 158, 75, 47, 23, 2, 6
2023/3/4, 149, 82, 58, 21, 2, 7
2023/3/5, 162, 64, 47, 13, 1, 6
2023/3/6, 146, 67, 27, 17, 1, 6
2023/3/7, 149, 72, 38, 15, 1, 7
2023/3/8, 148, 73, 35, 23, 2, 9
2023/3/9, 146, 52, 42, 10, 2, 5
2023/3/10, 107, 75, 57, 17, 2, 6
2023/3/11, 142, 48, 29, 3, 1, 2
2023/3/12, 62, 39, 36, 9, 2, 4
2023/3/13, 54, 63, 39, 21, 1, 6
2023/3/14, 113, 71, 32, 24, 2, 7
2023/3/15, 138, 56, 35, 18, 2, 6
2023/3/16, 84, 34, 26, 12, 1, 5
2023/3/17, 53, 34, 33, 11, 1, 5
2023/3/18, 63, 46, 20, 13, 1, 6
2023/3/19, 91, 24, 18, 10, 1, 6
2023/3/20, 54, 54, 37, 16, 1, 8
2023/3/21, 100, 54, 29, 10, 1, 6
2023/3/22, 103, 40, 22, 8, 1, 5
2023/3/23, 69, 32, 27, 12, 1, 3
2023/3/24, 68, 35, 29, 9, 1, 3
2023/3/25, 64, 39, 13, 12, 1, 4
2023/3/26, 69, 26, 30, 9, 1, 3
2023/3/27, 48, 55, 21, 13, 1, 4
2023/3/28, 109, 48, 39, 11, 1, 3
2023/3/29, 95, 62, 29, 16, 2, 4
2023/3/30, 130, 67, 46, 14, 2, 5
2023/3/31, 142, 63, 59, 10, 2, 5
2022/10/1, 105, 51, 61, 9, 2, 7
2022/10/2, 114, 40, 21, 5, 2, 5
2022/10/3, 84, 36, 30, 6, 2, 4
2022/10/4, 52, 24, 12, 6, 1, 5
2022/10/5, 46, 25, 6, 8, 1, 6
2022/10/6, 52, 19, 12, 8, , 5
2022/10/7, 42, 23, 10, 8, , 4
2022/10/8, 50, 46, 11, 12, , 3
2022/10/9, 69, 62, 14, 17, , 4
2022/10/10, 95, 68, 10, 20, , 5
2022/10/11, 125, 66, 12, 17, , 6
2022/10/12, 137, 64, 22, 16, , 6
2022/10/13, 133, 63, 26, 17, , 6
2022/10/14, 132, 69, 24, 22, 1, 9
2022/10/15, 141, 60, 47, 19, 1, 8
2022/10/16, 104, 70, 33, 22, 2, 8
2022/10/17, 129, 82, 41, 29, 3, 9
2022/10/18, 156, 100, 32, 31, 3, 9
2022/10/19, 176, 80, 57, 20, 3, 6
2022/10/20, 145, 76, 65, 27, 2, 8
2022/10/21, 151, 81, 56, 29, 2, 8
2022/10/22, 155, 81, 65, 21, 3, 8
2022/10/23, 160, 64, 41, 12, 1, 6
2022/10/24, 147, 47, 21, 7, , 6
2022/10/25, 112, 47, 32, 8, , 5
2022/10/26, 110, 39, 11, 11, , 5
2022/10/27, 95, 19, 9, 6, , 4
2022/10/28, 42, 17, 8, 7, , 4
2022/10/29, 34, 27, 22, 10, , 7
2022/10/30, 56, 40, 33, 16, , 8
2022/10/31, 77, 53, 33, 18, , 9
2022/11/1, 120, 69, 19, 17, 1, 8
2022/11/2, 156, 53, 14, 13, , 5
2022/11/3, 106, 42, 17, 12, , 4
2022/11/4, 84, 50, 16, 13, 1, 5
2022/11/5, 109, 64, 5, 16, , 6
2022/11/6, 150, 52, 15, 12, , 6
2022/11/7, 119, 50, 15, 12, 1, 7
2022/11/8, 109, 65, 5, 15, , 7
2022/11/9, 152, 66, 17, 15, 1, 7
2022/11/10, 149, 63, 30, 15, , 6
2022/11/11, 147, 35, 17, 14, , 3
2022/11/12, 71, 41, 16, 16, , 3
2022/11/13, 71, 54, 18, 18, 1, 4
2022/11/14, 97, 46, 11, 17, , 4
2022/11/15, 99, 62, 32, 15, 1, 5
2022/11/16, 133, 71, 19, 20, 2, 6
2022/11/17, 153, 59, 16, 15, 1, 6
2022/11/18, 133, 63, 29, 15, 2, 8
2022/11/19, 140, 71, 19, 21, 1, 9
2022/11/20, 158, 60, 22, 15, 1, 6
2022/11/21, 134, 58, 30, 17, , 7
2022/11/22, 106, 78, 19, 26, 1, 8
2022/11/23, 149, 77, 11, 22, 1, 7
2022/11/24, 158, 74, 12, 19, , 7
2022/11/25, 160, 75, 12, 20, 1, 6
2022/11/26, 162, 73, 32, 15, 1, 6
2022/11/27, 164, 64, 22, 16, 1, 5
2022/11/28, 138, 60, 17, 10, , 1
2022/11/29, 81, 43, 16, 8, , 1
2022/11/30, 66, 52, 11, 12, 1, 2
2022/12/1, 76, 54, 6, 17, , 3
2022/12/2, 94, 53, 2, 14, , 4
2022/12/3, 114, 66, 9, 15, , 6
2022/12/4, 137, 61, 6, 16, 1, 6
2022/12/5, 131, 61, 12, 13, , 5
2022/12/6, 130, 62, 13, 14, 1, 7
2022/12/7, 142, 67, 15, 18, , 8
2022/12/8, 152, 74, 13, 19, 1, 8
2022/12/9, 161, 90, 22, 23, 1, 9
2022/12/10, 176, 91, 3, 17, 1, 8
2022/12/11, 178, 89, 17, 12, 1, 4
2022/12/12, 154, 96, 1, 17, 2, 6
2022/12/13, 163, 75, 19, 11, 1, 6
2022/12/14, 148, 67, 5, 10, , 7
2022/12/15, 149, 62, 14, 9, , 7
2022/12/16, 128, 50, 24, 10, , 4
2022/12/17, 68, 56, 25, 15, 1, 6
2022/12/18, 89, 56, 17, 12, 1, 5
2022/12/19, 118, 65, 22, 14, 1, 4
2022/12/20, 135, 74, 19, 25, 1, 7
2022/12/21, 155, 83, 36, 25, 2, 8
2022/12/22, 166, 97, 25, 24, 2, 9
2022/12/23, 179, 110, 24, 25, 1, 9
2022/12/24, 195, 60, 20, 10, , 3
2022/12/25, 117, 43, 19, 14, 1, 2
2022/12/26, 74, 46, 17, 14, 1, 3
2022/12/27, 98, , , , , 
2022/7/1, 43, 17, 45, 9, , 4
2022/7/2, 44, 40, 106, 15, , 6
2022/7/3, 86, 52, 113, 23, , 7
2022/7/4, 111, 49, 132, 14, , 6
2022/7/5, 104, 46, 108, 18, , 6
2022/7/6, 92, 49, 98, 18, 1, 6
2022/7/7, 91, 45, 109, 11, 1, 6
2022/7/8, 83, 46, 103, 9, 1, 5
2022/7/9, 91, 38, 97, 8, , 6
2022/7/10, 84, 35, 76, 7, , 6
2022/7/11, 74, 37, 60, 8, 1, 5
2022/7/12, 73, 23, 51, 7, , 4
2022/7/13, 40, 27, 77, 7, , 5
2022/7/14, 59, 37, 108, 6, 1, 5
2022/7/15, 74, 25, 39, 8, , 6
2022/7/16, 56, 25, 44, 10, 1, 5
2022/7/17, 47, 28, 34, 11, , 4
2022/7/18, 48, 28, 34, 10, 1, 5
2022/7/19, 56, 30, 57, 12, 1, 6
2022/7/20, 63, 48, 96, 14, 1, 7
2022/7/21, 87, 16, 38, 5, , 5
2022/7/22, 35, 27, 64, 8, , 4
2022/7/23, 63, 47, 94, 11, 1, 5
2022/7/24, 92, 54, 104, 12, 1, 3
2022/7/25, 115, 60, 130, 13, 1, 4
2022/7/26, 137, 32, 32, 9, , 3
2022/7/27, 74, 28, 104, 9, , 2
2022/7/28, 58, 43, 98, 10, 1, 3
2022/7/29, 78, 53, 110, 11, 1, 4
2022/7/30, 106, 50, 90, 10, , 4
2022/7/31, 108, 31, 37, 9, 1, 3
2022/8/1, 63, 20, 58, 6, , 3
2022/8/2, 50, 33, 82, 12, , 5
2022/8/3, 73, 14, 48, 7, , 4
2022/8/4, 40, 26, 64, 11, , 5
2022/8/5, 61, 33, 49, 13, , 5
2022/8/6, 78, 41, 106, 10, , 6
2022/8/7, 83, 39, 110, 9, , 5
2022/8/8, 82, 29, 103, 8, , 5
2022/8/9, 67, 29, 100, 9, , 5
2022/8/10, 63, 49, 98, 15, , 7
2022/8/11, 105, 47, 116, 16, 1, 6
2022/8/12, 92, 42, 101, 15, 1, 5
2022/8/13, 86, 45, 98, 14, 1, 6
2022/8/14, 86, 40, 97, 14, 1, 6
2022/8/15, 77, 38, 90, 17, 1, 6
2022/8/16, 77, 36, 73, 11, 1, 6
2022/8/17, 85, 42, 97, 15, 1, 6
2022/8/18, 92, 24, 56, 9, 1, 5
2022/8/19, 58, 35, 87, 15, 1, 6
2022/8/20, 72, 37, 78, 15, 1, 6
2022/8/21, 80, 39, 99, 13, 1, 6
2022/8/22, 82, 43, 105, 18, 1, 6
2022/8/23, 93, 31, 53, 12, 1, 6
2022/8/24, 79, 19, 32, 9, , 5
2022/8/25, 47, 22, 73, 11, 1, 6
2022/8/26, 61, 28, 39, 8, , 6
2022/8/27, 68, 18, 27, 4, 1, 5
2022/8/28, 53, 9, 22, 6, 1, 5
2022/8/29, 17, 12, 31, 7, 1, 3
2022/8/30, 27, 23, 39, 12, 1, 3
2022/8/31, 45, 32, 52, 12, 1, 4
2022/9/1, 64, 23, 28, 4, 1, 4
2022/9/2, 65, 12, 31, 2, 1, 3
2022/9/3, 40, 14, 27, 6, 1, 4
2022/9/4, 36, 22, 51, 7, 1, 4
2022/9/5, 58, 31, 64, 8, 1, 4
2022/9/6, 66, 47, 36, 8, 1, 6
2022/9/7, 109, 24, 27, 4, 1, 4
2022/9/8, 69, 33, 50, 3, 1, 
2022/9/9, 92, 39, 51, 3, 2, 6
2022/9/10, 105, 38, 50, 4, 2, 6
2022/9/11, 104, 60, 55, 6, 2, 7
2022/9/12, 144, 52, 36, 5, 1, 6
2022/9/13, 127, 16, 31, 3, 1, 4
2022/9/14, 50, 21, 32, 3, 1, 5
2022/9/15, 55, 37, 21, 7, 1, 6
2022/9/16, 90, 27, 22, 5, 1, 6
2022/9/17, 70, 18, 22, 8, 1, 6
2022/9/18, 45, 17, 14, 9, 1, 6
2022/9/19, 42, 15, 22, 10, 1, 4
2022/9/20, 29, 24, 36, 12, 1, 5
2022/9/21, 46, 36, 28, 11, , 5
2022/9/22, 88, 32, 24, 9, 1, 3
2022/9/23, 65, 33, 27, 12, 1, 4
2022/9/24, 60, 38, 26, 13, 1, 4
2022/9/25, 83, 39, 15, 14, 1, 5
2022/9/26, 83, 26, 24, 10, 1, 4
2022/9/27, 46, 27, 38, 9, 1, 4
2022/9/28, 60, 41, 34, 12, 2, 5
2022/9/29, 85, 52, 45, 13, 2, 6
2022/9/30, 104, 50, 40, 7, 2, 6
2022/4/1, 62, 44, 44, 17, 2, 5
2022/4/2, 84, 46, 35, 16, 2, 5
2022/4/3, 96, 23, 28, 12, 1, 5
2022/4/4, 58, 38, 32, 17, 2, 6
2022/4/5, 82, 57, 39, 20, 2, 8
2022/4/6, 123, 60, 77, 21, 3, 8
2022/4/7, 133, 68, 49, 9, 3, 7
2022/4/8, 152, 65, 85, 21, 3, 8
2022/4/9, 134, 68, 90, 23, 3, 9
2022/4/10, 141, 76, 86, 22, 4, 10
2022/4/11, 139, 55, 47, 6, 2, 5
2022/4/12, 77, 57, 27, 10, 2, 6
2022/4/13, 78, 38, 17, 14, 2, 6
2022/4/14, 66, 4, 26, 6, 2, 4
2022/4/15, 12, 11, 28, 8, 2, 4
2022/4/16, 25, 19, 31, 10, 2, 4
2022/4/17, 55, 30, 29, 11, 2, 4
2022/4/18, 48, 52, 29, 18, 2, 5
2022/4/19, 84, 67, 61, 19, 2, 6
2022/4/20, 96, 69, 88, 20, 3, 6
2022/4/21, 115, 60, 54, 21, 3, 5
2022/4/22, 104, 63, 75, 20, 3, 5
2022/4/23, 105, 40, 37, 10, 3, 4
2022/4/24, 74, 27, 58, 11, 2, 3
2022/4/25, 44, 37, 65, 9, 3, 3
2022/4/26, 63, 49, 63, 11, 4, 4
2022/4/27, 87, 45, 57, 7, 1, 2
2022/4/28, 67, 67, 43, 18, 1, 4
2022/4/29, 107, 13, 27, 6, , 2
2022/4/30, 28, 17, 40, 8, , 2
2022/5/1, 28, 34, 45, 16, , 3
2022/5/2, 56, 40, 63, 20, , 4
2022/5/3, 72, 57, 84, 26, 2, 5
2022/5/4, 100, 67, 99, 30, 2, 6
2022/5/5, 128, 71, 122, 29, 3, 7
2022/5/6, 141, 78, 105, 29, 3, 8
2022/5/7, 154, 57, 45, 15, 1, 6
2022/5/8, 128, 24, 58, 8, , 4
2022/5/9, 49, 43, 70, 14, 1, 5
2022/5/10, 86, 25, 58, 10, 1, 5
2022/5/11, 58, 42, 29, 17, , 6
2022/5/12, 86, 25, 24, 8, 1, 3
2022/5/13, 57, 11, 32, 5, , 2
2022/5/14, 41, 18, 48, 12, , 2
2022/5/15, 34, 35, 68, 16, , 3
2022/5/16, 66, 34, 28, 17, 1, 3
2022/5/17, 72, 15, 23, 12, , 3
2022/5/18, 45, 31, 48, 14, , 5
2022/5/19, 71, 43, 59, 19, , 7
2022/5/20, 85, 40, 31, 20, , 6
2022/5/21, 81, 28, 60, 10, , 4
2022/5/22, 66, 43, 51, 12, 1, 5
2022/5/23, 94, 60, 30, 19, 1, 6
2022/5/24, 133, 44, 30, 15, 1, 6
2022/5/25, 98, 37, 39, 16, 1, 6
2022/5/26, 68, 28, 42, 16, 1, 5
2022/5/27, 56, 22, 68, 8, , 3
2022/5/28, 47, 36, 51, 12, 1, 5
2022/5/29, 80, 58, 64, 20, 1, 7
2022/5/30, 111, 54, 38, 14, 1, 6
2022/5/31, 97, 46, 76, 12, 1, 6
2022/6/1, 92, 54, 66, 13, 1, 6
2022/6/2, 115, 52, 91, 14, 1, 6
2022/6/3, 117, 12, 37, 5, 1, 4
2022/6/4, 31, 34, 22, 15, 1, 5
2022/6/5, 57, 53, 100, 18, 2, 6
2022/6/6, 89, 52, 82, 9, 3, 5
2022/6/7, 86, 56, 44, 17, 2, 7
2022/6/8, 110, 45, 45, 14, 1, 5
2022/6/9, 99, 42, 40, 15, , 5
2022/6/10, 94, 27, 53, 8, 1, 4
2022/6/11, 68, 33, 54, 7, , 4
2022/6/12, 78, 39, 25, 17, 1, 5
2022/6/13, 69, 43, 61, 18, 1, 6
2022/6/14, 83, 60, 90, 21, 1, 7
2022/6/15, 115, 33, 67, 14, 1, 4
2022/6/16, 65, 39, 77, 14, 1, 4
2022/6/17, 82, 55, 34, 20, 1, 6
2022/6/18, 115, 54, 101, 15, 1, 6
2022/6/19, 118, 57, 85, 15, 1, 6
2022/6/20, 132, 56, 75, 13, 1, 5
2022/6/21, 131, 35, 30, 11, 1, 4
2022/6/22, 86, 14, 40, 8, 1, 3
2022/6/23, 28, 25, 47, 12, , 4
2022/6/24, 54, 35, 67, 12, , 4
2022/6/25, 78, 25, 34, 8, , 4
2022/6/26, 63, 19, 66, 11, , 4
2022/6/27, 37, 38, 71, 14, , 5
2022/6/28, 60, 33, 81, 14, , 4
2022/6/29, 54, 45, 65, 21, , 6
2022/6/30, 77, 23, 27, 17, , 4
2022/1/3, 168, 70, 26, 18, 2, 8
2022/1/4, 159, 79, 6, 22, 2, 10
2022/1/5, 164, 67, 20, 17, 2, 7
2022/1/6, 160, 69, 6, 21, 2, 8
2022/1/7, 159, 68, 1, 18, 3, 9
2022/1/8, 158, 81, , 16, 2, 10
2022/1/9, 162, 62, 7, 22, 2, 9
2022/1/10, 148, 70, 21, 27, 3, 11
2022/1/11, 142, 93, 5, 31, 3, 10
2022/1/12, 170, 69, 9, 25, 2, 9
2022/1/13, 150, 83, 10, 23, 2, 9
2022/1/14, 167, 87, 24, 25, 2, 10
2022/1/15, 173, 79, 30, 22, 3, 11
2022/1/16, 166, 71, 30, 20, 3, 9
2022/1/17, 162, 81, 20, 29, 3, 10
2022/1/18, 168, 100, 14, 28, 2, 12
2022/1/19, 181, 95, 12, 27, 3, 10
2022/1/20, 182, 59, 7, 14, 2, 9
2022/1/21, 136, 31, 5, 11, 2, 8
2022/1/22, 81, 37, 5, 15, 2, 11
2022/1/23, 88, 41, 20, 15, 2, 10
2022/1/24, 92, 28, 9, 11, 2, 9
2022/1/25, 73, 11, 5, 8, 2, 10
2022/1/26, 40, 16, 20, 7, 2, 10
2022/1/27, 57, 20, 28, 6, 2, 11
2022/1/28, 66, 33, 37, 8, 2, 9
2022/1/29, 91, 34, 24, 6, 2, 7
2022/1/30, 93, 55, 25, 9, 4, 8
2022/1/31, 139, 94, 21, 6, 5, 7
2022/2/1, 196, 36, 23, 3, 2, 5
2022/2/2, 101, 35, 19, 5, 2, 7
2022/2/3, 102, 34, 15, 8, 2, 7
2022/2/4, 98, 31, 18, 6, 2, 6
2022/2/5, 93, 17, 17, 5, 2, 5
2022/2/6, 58, 26, 17, 8, 2, 7
2022/2/7, 80, 31, 27, 8, 2, 7
2022/2/8, 86, 29, 24, 11, 2, 7
2022/2/9, 81, 40, 11, 14, 2, 7
2022/2/10, 100, 43, 29, 15, 2, 8
2022/2/11, 101, 45, 22, 15, 2, 8
2022/2/12, 109, 51, 25, 14, 2, 8
2022/2/13, 130, 66, 16, 18, 3, 9
2022/2/14, 154, 62, 31, 16, 3, 10
2022/2/15, 146, 59, 19, 16, 3, 9
2022/2/16, 141, 32, 10, 10, 3, 8
2022/2/17, 90, 20, 9, 11, 2, 8
2022/2/18, 59, 30, 27, 8, 3, 4
2022/2/19, 64, 26, 25, 8, 2, 3
2022/2/20, 62, 22, 19, 9, 2, 5
2022/2/21, 63, 32, 16, 15, 2, 5
2022/2/22, 84, 37, 27, 12, 3, 4
2022/2/23, 97, 52, 21, 18, 3, 6
2022/2/24, 124, 61, 25, 20, 3, 6
2022/2/25, 144, 58, 35, 17, 3, 5
2022/2/26, 131, 65, 37, 23, 3, 7
2022/2/27, 145, 68, 39, 18, 4, 6
2022/2/28, 132, 44, 40, 12, 2, 4
2022/3/1, 78, 76, 14, 26, 6, 7
2022/3/2, 149, 79, 35, 23, 5, 7
2022/3/3, 149, 72, 55, 20, 3, 6
2022/3/4, 139, 81, 45, 23, 5, 8
2022/3/5, 158, 63, 49, 20, 4, 7
2022/3/6, 139, 81, 63, 28, 4, 11
2022/3/7, 157, 83, 70, 30, 4, 10
2022/3/8, 153, 84, 37, 32, 3, 10
2022/3/9, 141, 77, 57, 29, 4, 8
2022/3/10, 136, 98, 76, 33, 6, 8
2022/3/11, 160, 78, 77, 22, 4, 5
2022/3/12, 148, 82, 92, 31, 4, 7
2022/3/13, 159, 89, 62, 30, 4, 7
2022/3/14, 154, 87, 84, 24, 4, 7
2022/3/15, 154, 74, 56, 18, 5, 5
2022/3/16, 137, 55, 59, 16, 3, 3
2022/3/17, 88, 77, 93, 20, 3, 5
2022/3/18, 130, 65, 45, 14, 3, 5
2022/3/19, 119, 31, 22, 7, 1, 3
2022/3/20, 53, 20, 26, 8, 1, 2
2022/3/21, 30, 16, 25, 10, 1, 2
2022/3/22, 28, 38, 30, 16, 1, 3
2022/3/23, 72, 43, 11, 17, 1, 4
2022/3/24, 78, 63, 24, 18, 1, 5
2022/3/25, 108, 52, 25, 12, 1, 3
2022/3/26, 88, 54, 38, 9, 1, 3
2022/3/27, 83, 55, 34, 11, 2, 4
2022/3/28, 93, 67, 28, 19, 2, 5
2022/3/29, 115, 55, 23, 18, 2, 5
2022/3/30, 89, 29, 25, 10, 1, 2
2022/3/31, 52, 31, 39, 12, 1, 3
2021/10/1, 108, 52, 52, 14, 1, 8
2021/10/2, 109, 54, 55, 11, 1, 8
2021/10/3, 114, 13, 19, 6, , 5
2021/10/4, 35, 8, 18, 7, , 5
2021/10/5, 18, 12, 14, 11, , 6
2021/10/6, 31, 20, 20, 13, 1, 6
2021/10/7, 44, 27, 9, 12, 1, 5
2021/10/8, 45, 17, 11, 9, , 4
2021/10/9, 40, 15, 10, 10, 1, 3
2021/10/10, 25, 28, 15, 15, 1, 4
2021/10/11, 47, 32, 9, 13, 1, 5
2021/10/12, 54, 48, 14, 14, 1, 6
2021/10/13, 94, 37, 15, 13, 1, 5
2021/10/14, 59, 42, 16, 15, 1, 4
2021/10/15, 65, 40, 12, 15, 1, 4
2021/10/16, 69, 18, 12, 12, 1, 4
2021/10/17, 39, 32, 12, 13, 1, 6
2021/10/18, 66, 35, 5, 16, 1, 6
2021/10/19, 82, 22, 13, 12, 1, 6
2021/10/20, 45, 20, 8, 14, 1, 5
2021/10/21, 49, 19, 16, 13, 1, 4
2021/10/22, 52, 34, 14, 15, , 5
2021/10/23, 82, 43, 14, 16, , 6
2021/10/24, 96, 53, 7, 18, , 6
2021/10/25, 123, 35, 25, 15, , 5
2021/10/26, 78, 25, 14, 13, 1, 5
2021/10/27, 50, 27, 6, 15, 1, 2
2021/10/28, 61, 44, 30, 15, 1, 3
2021/10/29, 93, 38, 28, 15, 2, 5
2021/10/30, 96, 35, 17, 14, 1, 4
2021/10/31, 77, 34, 15, 14, 1, 5
2021/11/1, 73, 35, 7, 15, 1, 6
2021/11/2, 79, 40, 6, 16, 1, 6
2021/11/3, 78, 48, 5, 18, 1, 7
2021/11/4, 97, 54, 15, 16, 1, 7
2021/11/5, 121, 30, 19, 10, 1, 4
2021/11/6, 69, 47, 22, 8, 1, 2
2021/11/7, 66, 58, 15, 14, 2, 3
2021/11/8, 86, 64, 21, 18, 2, 5
2021/11/9, 105, 65, 25, 20, 3, 6
2021/11/10, 120, 72, 18, 24, 2, 7
2021/11/11, 141, 63, 20, 23, 2, 6
2021/11/12, 124, 91, 9, 25, 2, 7
2021/11/13, 169, 107, 14, 20, 1, 7
2021/11/14, 188, 121, 3, 25, 1, 10
2021/11/15, 199, 106, 13, 23, 2, 8
2021/11/16, 189, 35, 26, 16, 1, 5
2021/11/17, 87, 45, 16, 14, 1, 4
2021/11/18, 109, 47, 17, 13, 1, 4
2021/11/19, 122, 62, 11, 18, 1, 5
2021/11/20, 150, 60, 9, 19, 1, 3
2021/11/21, 90, 47, 24, 11, 1, 2
2021/11/22, 63, 52, 24, 13, 2, 3
2021/11/23, 83, 48, 22, 21, 2, 4
2021/11/24, 85, 65, 25, 21, 2, 7
2021/11/25, 131, 64, 8, 24, 2, 7
2021/11/26, 149, 59, 12, 18, 2, 5
2021/11/27, 135, 67, 4, 23, 2, 7
2021/11/28, 148, 54, 13, 17, 2, 5
2021/11/29, 106, 58, 13, 22, 2, 6
2021/11/30, 96, 70, 28, 21, 2, 8
2021/12/1, 133, 83, 18, 32, 3, 11
2021/12/2, 152, 106, 6, 37, 2, 13
2021/12/3, 173, 107, 9, 31, 3, 11
2021/12/4, 180, 110, 31, 25, 2, 11
2021/12/5, 185, 123, 2, 32, 3, 12
2021/12/6, 202, 69, 12, 20, 2, 9
2021/12/7, 143, 43, 15, 16, 2, 7
2021/12/8, 90, 68, 5, 25, 2, 9
2021/12/9, 138, 59, 3, 21, 2, 5
2021/12/10, 136, 43, 7, 20, 1, 6
2021/12/11, 94, 48, 9, 21, 2, 5
2021/12/12, 107, 63, 9, 22, 3, 6
2021/12/13, 140, 55, 13, 18, 2, 5
2021/12/14, 115, 68, 7, 21, 2, 6
2021/12/15, 154, 61, 11, 19, 2, 7
2021/12/16, 128, 60, 6, 24, 2, 5
2021/12/17, 104, 47, 19, 17, 2, 4
2021/12/18, 82, 49, 12, 19, 2, 5
2021/12/19, 99, 66, 22, 20, 2, 8
2021/12/20, 144, 99, 27, 27, 2, 12
2021/12/21, 174, 92, 12, 29, 2, 11
2021/12/22, 174, 91, 12, 22, 2, 10
2021/12/23, 177, 81, 19, 22, 2, 12
2021/12/24, 168, 63, 14, 21, 2, 10
2021/12/25, 148, 30, 18, 9, 2, 8
2021/12/26, 74, 38, 13, 12, 2, 9
2021/12/27, 90, 46, 5, 15, 1, 10
2021/12/28, 103, 63, 18, 19, 2, 11
2021/12/29, 150, 68, 5, 22, 2, 7
2021/12/30, 159, 73, 7, 21, 2, 7
2021/12/31, 164, 65, 23, 16, 2, 7
2022/1/1, 154, 74, 22, 20, 3, 8
2022/1/2, 167, 77, 12, 19, 3, 7
2021/7/1, 87, 35, 35, 14, 1, 7
2021/7/2, 68, 31, 108, 14, 1, 6
2021/7/3, 56, 33, 83, 14, 1, 6
2021/7/4, 60, 49, 32, 21, 1, 8
2021/7/5, 97, 64, 45, 20, 1, 9
2021/7/6, 137, 47, 79, 13, 1, 8
2021/7/7, 103, 25, 43, 12, 1, 6
2021/7/8, 58, 26, 22, 15, 1, 6
2021/7/9, 61, 10, 36, 10, 1, 4
2021/7/10, 30, 19, 62, 12, 1, 4
2021/7/11, 44, 26, 77, 13, 1, 5
2021/7/12, 62, 29, 71, 14, 1, 5
2021/7/13, 61, 46, 58, 18, 1, 7
2021/7/14, 88, 11, 22, 10, 1, 4
2021/7/15, 30, 12, 24, 9, 1, 3
2021/7/16, 21, 20, 71, 10, 1, 4
2021/7/17, 34, 18, 71, 9, 1, 3
2021/7/18, 33, 30, 94, 14, 1, 5
2021/7/19, 57, 20, 40, 12, 1, 4
2021/7/20, 42, 37, 88, 17, 1, 6
2021/7/21, 70, 18, 70, 10, 1, 5
2021/7/22, 45, 31, 65, 15, 1, 5
2021/7/23, 58, 26, 37, 15, 1, 5
2021/7/24, 59, 34, 52, 15, 1, 6
2021/7/25, 73, 23, 32, 12, 1, 5
2021/7/26, 46, 29, 69, 17, 1, 5
2021/7/27, 49, 37, 106, 16, 2, 6
2021/7/28, 59, 43, 126, 19, 2, 5
2021/7/29, 68, 40, 92, 15, 2, 5
2021/7/30, 75, 43, 108, 13, 2, 5
2021/7/31, 77, 36, 111, 17, 2, 5
2021/8/1, 63, 46, 117, 20, 3, 6
2021/8/2, 87, 55, 142, 18, 3, 6
2021/8/3, 102, 43, 88, 8, 1, 5
2021/8/4, 79, 17, 41, 7, 1, 5
2021/8/5, 42, 31, 87, 12, 2, 5
2021/8/6, 58, 21, 39, 6, 2, 4
2021/8/7, 42, 17, 40, 8, 1, 5
2021/8/8, 38, 34, 97, 9, 1, 6
2021/8/9, 59, , , , , 
2021/8/20, 40, 48, 80, 17, 1, 9
2021/8/21, 92, 14, 26, 6, 1, 4
2021/8/22, 30, 24, 75, 12, 1, 6
2021/8/23, 43, 45, 78, 19, 2, 7
2021/8/24, 72, 30, 31, 14, 2, 6
2021/8/25, 56, 12, 28, 8, 1, 5
2021/8/26, 30, 13, 44, 5, 1, 4
2021/8/27, 38, 14, 31, 8, 1, 6
2021/8/28, 33, 17, 48, 7, 2, 5
2021/8/29, 37, 27, 41, 6, 2, 6
2021/8/30, 59, 30, 29, 11, 2, 7
2021/8/31, 62, 29, 46, 11, , 8
2021/9/1, 62, 27, 28, 15, , 8
2021/9/2, 60, 26, 43, 10, 1, 7
2021/9/3, 64, 22, 34, 6, , 5
2021/9/4, 39, 17, 40, 8, 2, 5
2021/9/5, 32, 18, 40, 10, 2, 5
2021/9/6, 29, 33, 52, 18, 2, 5
